file,line,severity,type,issue,fix
apps/web/src/components/AdminConsole.tsx,89,MED,Hardcoded Spacing,"className=""flex items-center justify-center min-h-[","Use spacing tokens (--space-*)"
apps/web/src/components/AnimatedBackground.tsx,118,MED,Hardcoded Spacing,"className=""absolute top-0 left-1/4 w-[900px] h-[","Use spacing tokens (--space-*)"
apps/web/src/components/AnimatedBackground.tsx,124,MED,Hardcoded Spacing,"className=""absolute bottom-0 right-1/4 w-[900px] h-[","Use spacing tokens (--space-*)"
apps/web/src/components/AnimatedBackground.tsx,130,MED,Hardcoded Spacing,"className=""absolute top-1/3 right-1/3 w-[800px] h-[","Use spacing tokens (--space-*)"
apps/web/src/components/AnimatedBackground.tsx,136,MED,Hardcoded Spacing,"className=""absolute top-2/3 left-1/3 w-[700px] h-[","Use spacing tokens (--space-*)"
apps/web/src/components/AnimatedBackground.tsx,142,MED,Hardcoded Spacing,"className=""absolute top-1/2 left-1/2 w-[600px] h-[","Use spacing tokens (--space-*)"
apps/web/src/components/AuthScreen.tsx,66,HIGH,Missing A11y Label (button),"<button","Add aria-label or title attribute"
apps/web/src/components/AuthScreen.tsx,74,HIGH,Missing A11y Label (button),"<button","Add aria-label or title attribute"
apps/web/src/components/AuthScreen.tsx,67,MED,Interactive without role,"onClick={handleBack}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/AuthScreen.tsx,75,MED,Interactive without role,"onClick={() => {","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/BackendDemo.tsx,232,MED,Interactive without role,"onClick={loadRecords}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/BackendDemo.tsx,242,MED,Interactive without role,"onClick={handleClearAll}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/BackendDemo.tsx,285,MED,Interactive without role,"onClick={handleCreate}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/BackendDemo.tsx,336,MED,Interactive without role,"onClick={() => handleDelete(record.id)}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatRoomsList.tsx,16,MED,Hardcoded Spacing,"className=""flex flex-col items-center justify-center min-h-[","Use spacing tokens (--space-*)"
apps/web/src/components/ChatRoomsList.tsx,112,MED,Hardcoded Spacing,"className=""absolute -top-1 -right-1 min-w-[","Use spacing tokens (--space-*)"
apps/web/src/components/ChatRoomsList.tsx,75,MED,Interactive without role,"onClick={() => onSelectRoom(room)}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,716,MED,Hardcoded Spacing,"className=""flex items-center gap-2 min-w-[","Use spacing tokens (--space-*)"
apps/web/src/components/ChatWindowNew.tsx,579,MED,Interactive without role,"onClick={onBack}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,619,MED,Interactive without role,"onClick={handleVideoCall}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,634,MED,Interactive without role,"onClick={handleVoiceCall}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,715,MED,Interactive without role,"onClick={() => toggleVoicePlayback(message.id)}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,758,MED,Interactive without role,"onClick={() => { }}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,775,MED,Interactive without role,"onClick={() => handleReaction(message.id, emoji)}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,871,MED,Interactive without role,"onClick={() => setShowTemplates(false)}>","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,880,MED,Interactive without role,"onClick={() => handleUseTemplate(template.text)}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,906,MED,Interactive without role,"onClick={() => setShowTemplates(!showTemplates)}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,946,MED,Interactive without role,"onClick={() => handleSendMessage(sticker.emoji, 'sticker')}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,972,MED,Interactive without role,"onClick={() => handleSendMessage(emoji, 'text')}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,1014,MED,Interactive without role,"onClick={() => {","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/ChatWindowNew.tsx,1028,MED,Interactive without role,"onClick={() => handleSendMessage(inputValue, 'text')}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/CreatePetDialog.tsx,605,MED,Hardcoded Spacing,"className=""grid grid-cols-1 md:grid-cols-2 gap-4 max-h-[","Use spacing tokens (--space-*)"
apps/web/src/components/CreatePetDialog.tsx,954,MED,Hardcoded Spacing,"className=""max-w-3xl max-h-[","Use spacing tokens (--space-*)"
apps/web/src/components/CreatePetDialog.tsx,562,MED,Interactive without role,"onClick={() => {","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/CreatePetDialog.tsx,610,MED,Interactive without role,"onClick={() => {","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/CreatePetDialog.tsx,650,MED,Interactive without role,"onClick={skipToBasics}>","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/CreatePetDialog.tsx,725,MED,Interactive without role,"onClick={() => setGender('male')}","Ensure proper semantic HTML or role/aria attributes"
apps/web/src/components/CreatePetDialog.tsx,735,MED,Interactive without role,"onClick={() => setGender('female')}","Ensure proper semantic HTML or role/aria attributes"
